Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(mV)

29.30487830,-1.57337300,-1.91521200,-3.19405400,-3.97845200,-11.72628000
29.31487830,-1.57337300,-1.91521200,-3.16658500,-3.95098300,-11.28678000
29.32487830,-1.57337300,-1.91521200,-3.11317300,-3.95098300,-12.16579000
29.33487830,-1.60084200,-1.91521200,-3.19405400,-3.95098300,-11.06702000
29.34487830,-1.57337300,-1.88926900,-3.16658500,-3.95098300,-11.17690000
29.35487830,-1.57337300,-1.88926900,-3.16658500,-3.95098300,-11.39666000
29.36487830,-1.62678600,-1.91521200,-3.16658500,-4.00439500,-11.94604000
29.37487830,-1.62678600,-1.94268100,-3.13911600,-3.95098300,-12.38554000
29.38487830,-1.60084200,-1.88926900,-3.16658500,-3.95098300,-11.06702000
29.39487830,-1.60084200,-1.91521200,-3.16658500,-3.95098300,-11.83616000
29.40487830,-1.60084200,-1.91521200,-3.16658500,-3.92351400,-11.17690000
29.41487830,-1.57337300,-1.88926900,-3.16658500,-3.95098300,-11.83616000
29.42487830,-1.60084200,-1.91521200,-3.16658500,-3.95098300,-12.05591000
29.43487830,-1.57337300,-1.91521200,-3.11317300,-3.89757000,-12.16579000
29.44487830,-1.57337300,-1.91521200,-3.11317300,-3.95098300,-11.83616000
29.45487830,-1.60084200,-1.94268100,-3.13911600,-3.95098300,-12.05591000
29.46487830,-1.60084200,-1.94268100,-3.19405400,-4.00439500,-11.61641000
29.47487830,-1.60084200,-1.88926900,-3.16658500,-3.97845200,-11.94604000
29.48487830,-1.62678600,-1.91521200,-3.13911600,-4.00439500,-11.83616000
29.49487830,-1.60084200,-1.94268100,-3.16658500,-4.00439500,-11.06702000
29.50487830,-1.60084200,-1.94268100,-3.16658500,-3.95098300,-12.16579000
29.51487830,-1.60084200,-1.88926900,-3.16658500,-3.95098300,-11.17690000
29.52487830,-1.57337300,-1.91521200,-3.13911600,-3.92351400,-12.27567000
29.53487830,-1.60084200,-1.91521200,-3.13911600,-3.92351400,-11.06702000
